Model,Accuracy,Sensitivity,Specificity
Logistic Regression,0.895855334987593,0.8870575034478895,0.851924163865466
Linear SVM,0.9097451337193273,0.903867530211218,0.8804159223521936
SVM RBF,0.8798322029225254,0.8588889928933833,0.7750828638574766
SVM Polynomial,0.8077166253101739,0.7573387213688175,0.555742869701442
SVM Sigmoid,0.6938920319823545,0.6675359870143146,0.5624420021350343
Decision Tree,0.8077054590570719,0.8009046840333451,0.773610039167803
Random Forest,0.8798167631651502,0.8636160979689832,0.7990627626875316
Gradient Boosting,0.8685979321753514,0.8526236532773662,0.7890480909446183
AdaBoost,0.8584534325889166,0.8399859076030242,0.7663280706344686
GentleBoost,0.838146512269093,0.8034220220869691,0.6649817295943926
LogitBoost,0.8584534325889166,0.8399859076030242,0.7663280706344686
RUSBoost,0.8766055969120484,0.8579156446594313,0.7833926226018452
kNN Euclidean,0.8648620071684588,0.853984568797627,0.8105692498050862
kNN Minkowski,0.8648620071684588,0.853984568797627,0.8105692498050862
kNN Cityblock,0.8557790736145575,0.8421314939479742,0.7877090345673264
kNN Chebyshev,0.8440329197684037,0.8313617644384615,0.7807083913389578
kNN Cosine,0.8323048249241797,0.8219336209106852,0.7806601085847822
Naive Bayes Gaussian,0.7537703060380481,0.7747156843262936,0.8588446317109169
Naive Bayes Bernoulli,0.7537522194651226,0.7581964635287394,0.7762812387130952
Linear Discriminant Analysis (LDA),0.923088723462917,0.9190566510046407,0.9030799627417746
Subspace KNN,0.8643218086572926,0.8504298695983108,0.7948864537682553
Subspace Discriminant,0.9198801488833747,0.9136286647912374,0.8888227196824747
